matchID,playerID,teamID,mapID,sideID,k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating
2389273,20879,11737,0,0,48,38,50,40,2.33,83.8,84,76.8,80.6,1.3
2389273,21159,11737,0,0,41,42,45,44,4.25,80.4,83.9,76.8,70.6,1.28
2389273,21012,11737,0,0,28,39,31,38,-1.75,67.3,70,69.6,70.4,0.94
2389273,3849,11737,0,0,32,40,31,42,-5.04,56.3,56.8,57.1,62.9,0.72
2389273,22914,11737,0,0,27,45,27,47,-4.07,50.4,48.8,62.5,59.2,0.69
2389273,21159,11737,0,1,23,22,26,24,6.57,86.4,91.3,86.7,81.3,1.42
2389273,20879,11737,0,1,25,21,27,22,2.27,87.2,89.8,76.7,81.9,1.3
2389273,21012,11737,0,1,21,19,23,19,3.23,87.1,90.8,70,67.9,1.25
2389273,3849,11737,0,1,23,20,22,21,-3.34,70.6,71.2,63.3,65.8,0.92
2389273,22914,11737,0,1,16,22,17,23,-3.01,51,52.5,66.7,68.8,0.79
2389273,20879,11737,0,2,23,17,23,18,2.41,80,77.4,76.9,79.1,1.31
2389273,21159,11737,0,2,18,20,19,21,1.58,73.5,75.4,65.4,58.4,1.12
2389273,22914,11737,0,2,11,23,10,24,-5.28,49.8,44.6,57.7,48.2,0.58
2389273,21012,11737,0,2,7,20,7,19,-7.49,44.5,46,69.2,73.3,0.58
2389273,3849,11737,0,2,9,20,9,21,-6.99,39.8,40.1,50,59.5,0.5
