fantasyID,title,team,playerid,cost
591,IEM Krakow 2026 - Stage 1,G2,3972,198
591,IEM Krakow 2026 - Stage 1,G2,11617,217
591,IEM Krakow 2026 - Stage 1,G2,19164,218
591,IEM Krakow 2026 - Stage 1,G2,20447,228
591,IEM Krakow 2026 - Stage 1,G2,21062,220
591,IEM Krakow 2026 - Stage 1,Aurora,150,190
591,IEM Krakow 2026 - Stage 1,Aurora,7938,226
591,IEM Krakow 2026 - Stage 1,Aurora,8574,209
591,IEM Krakow 2026 - Stage 1,Aurora,20968,203
591,IEM Krakow 2026 - Stage 1,Aurora,21243,221
591,IEM Krakow 2026 - Stage 1,Liquid,19899,215
591,IEM Krakow 2026 - Stage 1,Liquid,8738,212
591,IEM Krakow 2026 - Stage 1,Liquid,9436,210
591,IEM Krakow 2026 - Stage 1,Liquid,16820,192
591,IEM Krakow 2026 - Stage 1,Liquid,21763,205
591,IEM Krakow 2026 - Stage 1,3DMAX,8374,210
591,IEM Krakow 2026 - Stage 1,3DMAX,13138,215
591,IEM Krakow 2026 - Stage 1,3DMAX,13497,204
591,IEM Krakow 2026 - Stage 1,3DMAX,19739,207
591,IEM Krakow 2026 - Stage 1,3DMAX,21969,205
591,IEM Krakow 2026 - Stage 1,Astralis,10096,188
591,IEM Krakow 2026 - Stage 1,Astralis,16726,206
591,IEM Krakow 2026 - Stage 1,Astralis,17956,197
591,IEM Krakow 2026 - Stage 1,Astralis,20304,205
591,IEM Krakow 2026 - Stage 1,Astralis,21217,208
591,IEM Krakow 2026 - Stage 1,paiN,16816,196
591,IEM Krakow 2026 - Stage 1,paiN,18141,198
591,IEM Krakow 2026 - Stage 1,paiN,18714,216
591,IEM Krakow 2026 - Stage 1,paiN,19694,197
591,IEM Krakow 2026 - Stage 1,paiN,20171,195
591,IEM Krakow 2026 - Stage 1,Passion UA,11630,199
591,IEM Krakow 2026 - Stage 1,Passion UA,12840,197
591,IEM Krakow 2026 - Stage 1,Passion UA,13578,207
591,IEM Krakow 2026 - Stage 1,Passion UA,21452,207
591,IEM Krakow 2026 - Stage 1,Passion UA,21620,195
591,IEM Krakow 2026 - Stage 1,B8,20112,190
591,IEM Krakow 2026 - Stage 1,B8,21708,208
591,IEM Krakow 2026 - Stage 1,B8,22842,205
591,IEM Krakow 2026 - Stage 1,B8,23643,195
591,IEM Krakow 2026 - Stage 1,B8,25805,190
591,IEM Krakow 2026 - Stage 1,PARIVISION,13776,197
591,IEM Krakow 2026 - Stage 1,PARIVISION,19235,190
591,IEM Krakow 2026 - Stage 1,PARIVISION,22471,207
591,IEM Krakow 2026 - Stage 1,PARIVISION,22929,205
591,IEM Krakow 2026 - Stage 1,PARIVISION,23685,216
591,IEM Krakow 2026 - Stage 1,Legacy,15698,198
591,IEM Krakow 2026 - Stage 1,Legacy,19045,205
591,IEM Krakow 2026 - Stage 1,Legacy,19686,191
591,IEM Krakow 2026 - Stage 1,Legacy,20563,183
591,IEM Krakow 2026 - Stage 1,Legacy,22965,194
591,IEM Krakow 2026 - Stage 1,GamerLegion,2553,175
591,IEM Krakow 2026 - Stage 1,GamerLegion,9278,197
591,IEM Krakow 2026 - Stage 1,GamerLegion,20301,201
591,IEM Krakow 2026 - Stage 1,GamerLegion,22279,204
591,IEM Krakow 2026 - Stage 1,GamerLegion,23766,184
591,IEM Krakow 2026 - Stage 1,HEROIC,19187,195
591,IEM Krakow 2026 - Stage 1,HEROIC,20119,192
591,IEM Krakow 2026 - Stage 1,HEROIC,21163,194
591,IEM Krakow 2026 - Stage 1,HEROIC,21983,178
591,IEM Krakow 2026 - Stage 1,HEROIC,23600,191
591,IEM Krakow 2026 - Stage 1,FUT,20584,189
591,IEM Krakow 2026 - Stage 1,FUT,20761,187
591,IEM Krakow 2026 - Stage 1,FUT,22203,182
591,IEM Krakow 2026 - Stage 1,FUT,22674,180
591,IEM Krakow 2026 - Stage 1,FUT,23553,194
591,IEM Krakow 2026 - Stage 1,Ninjas in Pyjamas,922,170
591,IEM Krakow 2026 - Stage 1,Ninjas in Pyjamas,14148,181
591,IEM Krakow 2026 - Stage 1,Ninjas in Pyjamas,20425,182
591,IEM Krakow 2026 - Stage 1,Ninjas in Pyjamas,23372,194
591,IEM Krakow 2026 - Stage 1,Ninjas in Pyjamas,24283,195
591,IEM Krakow 2026 - Stage 1,NRG,7687,173
591,IEM Krakow 2026 - Stage 1,NRG,8711,184
591,IEM Krakow 2026 - Stage 1,NRG,13249,188
591,IEM Krakow 2026 - Stage 1,NRG,16717,183
591,IEM Krakow 2026 - Stage 1,NRG,20333,178
591,IEM Krakow 2026 - Stage 1,BC.Game,630,178
591,IEM Krakow 2026 - Stage 1,BC.Game,7998,195
591,IEM Krakow 2026 - Stage 1,BC.Game,8918,180
591,IEM Krakow 2026 - Stage 1,BC.Game,22807,186
591,IEM Krakow 2026 - Stage 1,BC.Game,23140,180
