name,points,teamID
Vitality,960,9565
FURIA,807,8297
Falcons,608,11283
MOUZ,474,4494
FaZe,374,6667
Spirit,347,7020
Natus Vincere,332,4608
The MongolZ,328,6248
G2,190,5995
Aurora,153,11861
Liquid,147,5973
3DMAX,143,4914
Astralis,127,6665
paiN,125,4773
Passion UA,123,12426
B8,122,11241
PARIVISION,112,12467
Legacy,107,12468
GamerLegion,104,9928
HEROIC,88,7175
Imperial,76,9455
Gentle Mates,71,13404
FUT,71,13286
M80,71,12376
Ninjas in Pyjamas,64,4411
Lynn Vision,57,8840
NRG,54,6673
BC.Game,53,12878
Virtus.pro,52,5378
EYEBALLERS,52,11737
fnatic,51,4991
FlyQuest,44,12774
TYLOO,43,4863
BetBoom,41,12394
Sharks,39,8113
HOTU,38,11581
Inner Circle,35,13117
Monte,33,11811
Fluxo,30,11837
Oramond,27,13470
CYBERSHOKE,27,12380
MIBR,26,9215
9INE,25,10278
BESTIA,24,12144
ECSTATIC,23,11419
Marsborne,22,13124
K27,22,12895
ENCE,21,4869
Rare Atom,21,11514
OG,19,10503
Alliance,19,12474
Sashi,19,11712
Voca,18,13499
The Huns,18,12510
AM,18,13237
MOUZ NXT,18,11176
Friendly Campers,17,13547
KOLESIE,17,13314
Tricked,17,4602
Johnny Speeds,17,12604
Nuclear TigeRES,17,13027
RED Canids,16,7176
illwill,16,13501
GenOne,15,11609
Nemesis,15,13355
Wildcard,14,12257
SPARTA,13,13214
magic,13,13592
SINNERS,13,10577
BIG,13,7532
Acend,13,13518
Chinggis Warriors,13,12646
ex-500,12,13609
Gaimin Gladiators,12,11571
Eruption,11,12097
ASTRAL,11,13333
JiJieHao,11,10245
Nemiga,10,7969
BET-M,10,13619
F5,10,13201
DEPO,10,12536
Phantom,10,13173
Galorys,10,12677
Rave,10,13414
Lazer Cats,10,12087
Reign Above,10,13425
AaB,10,9621
FORZE Reload,10,12857
Sangal,10,10333
NOVAQ,10,13178
ex-RUBY,10,13617
Morningstar,9,13602
HEROIC Academy,9,13233
Yawara,9,11933
STATE,9,13623
Metizport,9,11641
1win,9,10621
Nexus,9,7187
Change The Game,9,13175
Betclic,9,12916
FAVBET,9,12818
BOSS,9,12534
Deep Cross,9,13527
Famalicão,8,13364
Rebels,8,12642
Bounty Hunters,8,12776
G2 Ares,8,12889
Leo,8,11446
MASONIC,8,10867
ARCRED,8,10459
WW,8,12967
MANA,8,13310
Last Bullet,8,13433
ODDIK,8,11768
Young Ninjas,8,10960
9z,7,9996
UNiTY,7,12267
CALAOSCORNOS,7,13556
Fake do Biru,7,13081
megoshort,7,11018
Impulse GW,7,13266
INFURITY,7,8488
Fingers Crossed,7,13466
THUNDER dOWNUNDER,7,13486
BORING PLAYERS,7,12948
OlyBet,7,13551
aimclub,7,6810
TDK,7,13644
SAW,7,10567
ALGO,6,13163
Keyd Stars,6,6033
LP,6,13304
Eternal Fire,6,11251
Spirit Academy,6,7900
Bushido Wildcats,6,13281
BASEMENT BOYS,6,13181
Minsk House,6,13185
HyperSpirit,6,13012
NuTorious,6,12973
MINLATE,6,6626
Mindfreak,6,11668
Omega,6,13479
WATERMELON,6,13326
Ground Zero,6,8536
Falcons Force,6,13321
Rooster,6,9881
SemperFi,5,12901
BIG Academy,5,10254
Fuego,5,13511
EC BANGA,5,12568
regain,5,12554
Ursa,5,13231
kONO,5,12858
los kogutos,5,10854
FlyQuest RED,5,12301
Prestige,5,13159
FengDa,5,12899
Nemesis SEA,5,13497
Outfit 49,5,13294
Mythic,5,5479
Phoenix,5,12909
GameHunters,5,12988
INFINITE,5,10823
HAVU,4,7865
ShindeN,4,12959
Dark Knight,4,13612
EXSAD,4,13047
eLITenergy,4,13568
WHITEBIRD,4,13583
ENCE Academy,4,11790
Four Magic,4,13520
Just Swing,4,13053
QWENTRY,4,13510
SportsBetExpert,4,13375
LAG,4,11955
BRUTE,4,9139
777,4,10943
Lilmix,4,9735
Prison Breakers,3,13512
VP.Prodigy,3,10864
FUT Academy,3,13474
Oxuji,3,13553
ex-GANK,3,13586
CSDIILIT,3,13340
DRGN,3,13523
Players,3,11711
Flame Sharks,3,13387
SINQU,3,13571
YinYang,3,13513
MIBR fe,3,10975
WeWillWin,3,13569
FOLHA AMARELA,3,13475
Pigeons,3,12721
Underground,3,12707
Crashers,3,6788
Misa,3,13528
Vasco,3,13413
RUSTEC,3,12834
Wicked,3,13505
Charrados,3,13519
ALLINNERS,3,12812
Washington,3,13483
WiLD,3,4903
TNC,2,13403
8Sins,2,13024
FOKUS,2,13608
Zomblers,2,12164
BIG EQUIPA,2,11718
FURY,2,10299
XDM,2,13242
Beyond Limits,2,13610
Wanted Goons,2,12971
RED Canids Academy,2,13029
InControl,2,7720
Legion,2,10287
UR,2,13116
OverKnight,2,10901
Nordix,2,12766
Timewaves,2,13543
Ghost,2,7801
Sakura,2,13531
paiN Academy,2,11905
Galaxy,2,12583
Diamant,2,13563
FURIA fe,2,10976
Akimbo,2,12567
Procyon,2,10997
ALTAY,2,13591
hindsight,2,13395
Peekaboo,2,13393
Arise,2,13502
NIC,1,13582
Wave,1,13014
MAGICOS,1,13265
XI,1,8947
Atrix,1,12533
Ascend,1,13555
MIBR Academy,1,3044
OxinGame,1,13457
BAKS,1,11699
QUAZAR,1,11312
Dziuseppe,1,13465
Vantage,1,12455
NAVI Junior,1,10371
ALZON,1,13471
Fingers Crossed fe,1,13516
Lotus fe,1,12702
Glitchtech,1,13285
DXA,1,12276
SD Invicta,1,11893
Steel Helmet,1,11273
Eternal Fire Academy,0,11458
Reveal,0,12287
Dark Tigers,0,7842
Coalesce,0,11278
Rounds,0,12457
BESTIA Academy,0,13026
WahWah,0,11878
ScarX,0,13217
