team_name,points,team_id
Vitality,1984,9565
FURIA,1981,8297
Falcons,1874,11283
Natus Vincere,1841,4608
Spirit,1827,7020
MOUZ,1821,4494
FaZe,1812,6667
The MongolZ,1774,6248
Aurora,1713,11861
B8,1705,11241
Legacy,1658,12468
G2,1638,5995
Liquid,1608,5973
3DMAX,1602,4914
Astralis,1574,6665
FUT,1562,13286
PARIVISION,1558,12467
Ninjas in Pyjamas,1552,4411
HEROIC,1552,7175
Passion UA,1543,12426
paiN,1543,4773
SAW,1532,10567
NRG,1524,6673
M80,1520,12376
GamerLegion,1487,9928
Imperial,1481,9455
BetBoom,1476,12394
HOTU,1471,11581
Gentle Mates,1467,13404
fnatic,1437,4991
EYEBALLERS,1380,11737
K27,1370,12895
9INE,1368,10278
FlyQuest,1352,12774
BIG,1330,7532
ECSTATIC,1320,11419
Monte,1296,11811
BESTIA,1296,12144
Fluxo,1293,11837
ENCE,1293,4869
Friendly Campers,1290,13547
CYBERSHOKE,1285,12380
SINNERS,1283,10577
Alliance,1283,12474
Sharks,1264,8113
Oramond,1255,13470
Inner Circle,1254,13117
Lynn Vision,1251,8840
OG,1239,10503
Marsborne,1201,13124
Virtus.pro,1197,5378
magic,1193,13592
GUN5,1190,12471
Rare Atom,1187,11514
MIBR,1182,9215
Sashi,1176,11712
Venom,1161,13419
MOUZ NXT,1152,11176
9z,1151,9996
Sangal,1146,10333
Johnny Speeds,1146,12604
AM,1142,13237
Nuclear TigeRES,1138,13027
TYLOO,1134,4863
Voca,1129,13499
GenOne,1124,11609
500,1103,12000
The Huns,1102,12510
1win,1089,10621
Phantom,1089,13173
MIBR fe,1085,10975
BIG EQUIPA,1079,11718
Morningstar,1077,13602
33,1068,13297
Gaimin Gladiators,1067,11571
Fingers Crossed,1066,13466
Fire Flux,1060,12960
FAVBET,1053,12818
Rave,1040,13414
Metizport,1040,11641
RED Canids,1039,7176
illwill,1033,13501
SPARTA,1030,13214
Nemiga,1029,7969
RUBY,1015,12694
Keyd Stars,1009,6033
Acend,1007,13518
ASTRAL,1004,13333
Wildcard,991,12257
Leo,988,11446
Nemesis,988,13355
BC.Game,968,12878
ARCRED,960,10459
ODDIK,959,11768
FengDa,955,12899
JiJieHao,955,10245
Bounty Hunters,953,12776
Galorys,938,12677
ex-Zero Tenacity,936,13573
Lazer Cats,933,12087
Spirit Academy,931,7900
OlyBet,930,13551
Chinggis Warriors,929,12646
BOSS,920,12534
ALGO,919,13163
FORZE Reload,917,12857
CPH Wolves,915,4548
kONO,907,12858
MINLATE,903,6626
Omega,902,13479
DEPO,896,12536
AaB,896,9621
WW,896,12967
Partizan,894,11838
Atrix,891,12533
Nexus,889,7187
ShindeN,888,12959
NOVAQ,884,13178
UNiTY,883,12267
Partizan,882,11838
FORZE Reload,875,12857
los kogutos,874,10854
Dusty Roots,873,12548
WHITEBIRD,872,13583
Fake do Biru,867,13081
HAVU,865,7865
Mindfreak,865,11668
Eternal Fire,864,11251
THUNDER dOWNUNDER,860,13486
ALLINNERS,856,12812
FURIA fe,856,10976
NIP Impact,854,11917
SemperFi,850,12901
