name,points,teamID
FURIA,1992,8297
Vitality,1971,9565
Falcons,1946,11283
Spirit,1801,7020
Natus Vincere,1797,4608
MOUZ,1789,4494
FaZe,1765,6667
The MongolZ,1752,6248
B8,1694,11241
Aurora,1693,11861
Liquid,1659,5973
PARIVISION,1653,12467
Legacy,1642,12468
G2,1592,5995
GamerLegion,1587,9928
HEROIC,1569,7175
Astralis,1568,6665
3DMAX,1563,4914
paiN,1553,4773
Ninjas in Pyjamas,1544,4411
NRG,1543,6673
Passion UA,1532,12426
FUT,1527,13286
M80,1520,12376
Gentle Mates,1518,13404
HOTU,1508,11581
BC.Game,1486,12878
BetBoom,1460,12394
FlyQuest,1424,12774
EYEBALLERS,1422,11737
Imperial,1421,9455
MIBR,1414,9215
fnatic,1386,4991
9INE,1384,10278
Monte,1360,11811
K27,1347,12895
Alliance,1346,12474
Sharks,1342,8113
Inner Circle,1338,13117
ECSTATIC,1322,11419
BIG,1320,7532
Friendly Campers,1305,13547
CYBERSHOKE,1299,12380
SINNERS,1294,10577
ENCE,1285,4869
BESTIA,1279,12144
Lynn Vision,1259,8840
BIG,1235,7532
Tricked,1234,4602
Nuclear TigeRES,1226,13027
Sashi,1220,11712
magic,1215,13592
Oramond,1206,13470
Fluxo,1203,11837
Johnny Speeds,1201,12604
OG,1201,10503
Nemesis,1197,13355
Marsborne,1196,13124
RED Canids,1194,7176
KOLESIE,1175,13314
Rare Atom,1174,11514
Virtus.pro,1160,5378
Sangal,1160,10333
AM,1156,13237
9z,1153,9996
MOUZ NXT,1149,11176
GenOne,1140,11609
Gaimin Gladiators,1129,11571
illwill,1128,13501
Morningstar,1124,13602
Voca,1123,13499
500,1113,12000
BET-M,1106,13619
TYLOO,1103,4863
1win,1100,10621
Nemiga,1090,7969
The Huns,1085,12510
Metizport,1085,11641
MIBR fe,1084,10975
BIG EQUIPA,1077,11718
Fingers Crossed,1073,13466
ex-RUBY,1073,13617
Betclic,1071,12916
ARCRED,1071,10459
JiJieHao,1065,10245
FAVBET,1063,12818
Phantom,1055,13173
SPARTA,1047,13214
Fire Flux,1046,12960
ASTRAL,1038,13333
HAVU,1030,7865
Rave,1016,13414
Nemesis,1003,13355
MINLATE,1001,6626
STATE,996,13623
SemperFi,995,12901
ODDIK,984,11768
Fake do Biru,980,13081
AaB,972,9621
FORZE Reload,968,12857
Leo,968,11446
ShindeN,963,12959
Acend,962,13518
megoshort,961,11018
OlyBet,961,13551
Rebels,957,12642
Wildcard,955,12257
UNiTY,950,12267
ALGO,942,13163
Ursa,941,13231
Yawara,941,11933
Lazer Cats,940,12087
Gaimin Gladiators,939,11571
FengDa,936,12899
BC.Game,935,12878
los kogutos,930,10854
Chinggis Warriors,927,12646
Nexus,926,7187
Spirit Academy,924,7900
ex-Zero Tenacity,920,13573
BOSS,914,12534
kONO,908,12858
Omega,902,13479
Bounty Hunters,902,12776
NOVAQ,902,13178
DEPO,901,12536
Partizan,895,11838
Galorys,893,12677
Atrix,891,12533
