matchid,teamid,mapid,sideid,score,date
2388913,13286,0,0,0.0,2026-01-22
2388913,11737,0,0,2.0,2026-01-22
2388913,13286,1,2,10.0,2026-01-22
2388913,11737,1,1,2.0,2026-01-22
2388913,13286,1,1,0.0,2026-01-22
2388913,11737,1,2,11.0,2026-01-22
2388913,13286,1,0,10.0,2026-01-22
2388913,11737,1,0,13.0,2026-01-22
2388913,13286,4,2,4.0,2026-01-22
2388913,11737,4,1,8.0,2026-01-22
2388913,13286,4,1,1.0,2026-01-22
2388913,11737,4,2,5.0,2026-01-22
2388913,13286,4,0,5.0,2026-01-22
2388913,11737,4,0,13.0,2026-01-22
2388915,13404,0,0,2.0,2026-01-22
2388915,11609,0,0,0.0,2026-01-22
2388915,13404,3,1,9.0,2026-01-22
2388915,11609,3,2,3.0,2026-01-22
2388915,13404,3,2,4.0,2026-01-22
2388915,11609,3,1,3.0,2026-01-22
2388915,13404,3,0,13.0,2026-01-22
2388915,11609,3,0,6.0,2026-01-22
2388915,13404,5,2,6.0,2026-01-22
2388915,11609,5,1,6.0,2026-01-22
2388915,13404,5,1,7.0,2026-01-22
2388915,11609,5,2,1.0,2026-01-22
2388915,13404,5,0,13.0,2026-01-22
2388915,11609,5,0,7.0,2026-01-22
2389436,6033,0,0,0.0,2026-01-22
2389436,9996,0,0,2.0,2026-01-22
2389436,6033,6,2,0.0,2026-01-22
2389436,9996,6,1,12.0,2026-01-22
2389436,6033,6,1,0.0,2026-01-22
2389436,9996,6,2,1.0,2026-01-22
2389436,6033,6,0,0.0,2026-01-22
2389436,9996,6,0,13.0,2026-01-22
2389436,6033,4,2,7.0,2026-01-22
2389436,9996,4,1,5.0,2026-01-22
2389436,6033,4,1,5.0,2026-01-22
2389436,9996,4,2,7.0,2026-01-22
2389436,6033,4,0,14.0,2026-01-22
2389436,9996,4,0,16.0,2026-01-22
2388912,12878,0,0,1.0,2026-01-22
2388912,13355,0,0,2.0,2026-01-22
2388912,12878,5,1,7.0,2026-01-22
2388912,13355,5,2,5.0,2026-01-22
2388912,12878,5,2,6.0,2026-01-22
2388912,13355,5,1,1.0,2026-01-22
2388912,12878,5,0,13.0,2026-01-22
2388912,13355,5,0,6.0,2026-01-22
2388912,12878,7,2,5.0,2026-01-22
2388912,13355,7,1,7.0,2026-01-22
2388912,12878,7,1,4.0,2026-01-22
2388912,13355,7,2,6.0,2026-01-22
2388912,12878,7,0,9.0,2026-01-22
2388912,13355,7,0,13.0,2026-01-22
2388912,12878,3,2,5.0,2026-01-22
2388912,13355,3,1,7.0,2026-01-22
2388912,12878,3,1,6.0,2026-01-22
2388912,13355,3,2,6.0,2026-01-22
2388912,12878,3,0,11.0,2026-01-22
2388912,13355,3,0,13.0,2026-01-22
2388932,9455,0,0,1.0,2026-01-22
2388932,7176,0,0,2.0,2026-01-22
2388932,9455,5,1,7.0,2026-01-22
2388932,7176,5,2,5.0,2026-01-22
2388932,9455,5,2,0.0,2026-01-22
2388932,7176,5,1,8.0,2026-01-22
2388932,9455,5,0,7.0,2026-01-22
2388932,7176,5,0,13.0,2026-01-22
2388932,9455,2,2,7.0,2026-01-22
2388932,7176,2,1,5.0,2026-01-22
2388932,9455,2,1,6.0,2026-01-22
2388932,7176,2,2,5.0,2026-01-22
2388932,9455,2,0,13.0,2026-01-22
2388932,7176,2,0,10.0,2026-01-22
2388932,9455,6,1,4.0,2026-01-22
2388932,7176,6,2,8.0,2026-01-22
2388932,9455,6,2,6.0,2026-01-22
2388932,7176,6,1,5.0,2026-01-22
2388932,9455,6,0,10.0,2026-01-22
2388932,7176,6,0,13.0,2026-01-22
2389433,8113,0,0,2.0,2026-01-22
2389433,12677,0,0,0.0,2026-01-22
2389433,8113,5,2,7.0,2026-01-22
2389433,12677,5,1,5.0,2026-01-22
2389433,8113,5,1,6.0,2026-01-22
2389433,12677,5,2,1.0,2026-01-22
2389433,8113,5,0,13.0,2026-01-22
2389433,12677,5,0,6.0,2026-01-22
