matchid,playerid,teamid,mapid,sideid,k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating
2388913,20584,13286,0,0,30.0,32.0,30.0,32.0,0.35,74.7,73.6,58.5,60.9,1.15
2388913,23553,13286,0,0,23.0,27.0,25.0,27.0,-0.27,70.0,72.0,73.2,74.8,0.97
2388913,20761,13286,0,0,24.0,30.0,25.0,29.0,-2.42,60.2,62.5,63.4,61.4,0.86
2388913,22674,13286,0,0,22.0,30.0,22.0,30.0,-1.09,62.4,64.6,61.0,57.3,0.86
2388913,22203,13286,0,0,21.0,32.0,22.0,32.0,-4.04,70.2,72.1,68.3,62.2,0.77
2388913,22203,13286,0,1,9.0,15.0,10.0,15.0,-3.87,78.0,85.4,58.8,53.1,0.77
2388913,20761,13286,0,1,9.0,16.0,10.0,15.0,-4.48,59.2,66.0,52.9,53.6,0.64
2388913,23553,13286,0,1,8.0,15.0,9.0,15.0,-3.81,59.6,64.0,58.8,65.2,0.61
2388913,22674,13286,0,1,7.0,17.0,8.0,16.0,-6.75,53.6,61.8,52.9,48.5,0.48
2388913,20584,13286,0,1,6.0,16.0,6.0,15.0,-8.81,46.6,49.1,35.3,39.5,0.43
2388913,20584,13286,0,2,24.0,16.0,24.0,17.0,6.84,94.5,90.9,75.0,76.1,1.66
2388913,23553,13286,0,2,15.0,12.0,15.0,12.0,2.23,77.5,77.6,83.3,81.7,1.23
2388913,22674,13286,0,2,15.0,13.0,14.0,14.0,2.91,68.6,66.6,66.7,63.6,1.13
2388913,20761,13286,0,2,15.0,14.0,15.0,14.0,-0.96,60.9,60.0,70.8,67.0,1.02
2388913,22203,13286,0,2,12.0,17.0,11.0,17.0,-4.16,64.7,62.7,75.0,68.6,0.77
2388913,21012,11737,0,0,32.0,20.0,32.0,22.0,3.74,83.7,80.9,85.4,73.6,1.35
2388913,21159,11737,0,0,35.0,25.0,34.0,26.0,1.66,89.3,83.9,70.7,66.7,1.26
2388913,20879,11737,0,0,33.0,23.0,33.0,24.0,1.91,78.4,76.8,80.5,68.4,1.21
2388913,22914,11737,0,0,23.0,25.0,23.0,26.0,0.31,62.4,61.4,78.0,70.7,1.01
2388913,3849,11737,0,0,28.0,27.0,25.0,30.0,-0.16,75.8,71.2,68.3,64.1,1.0
2388913,21159,11737,0,1,21.0,16.0,22.0,16.0,1.15,86.3,86.3,62.5,61.0,1.21
2388913,21012,11737,0,1,15.0,13.0,17.0,14.0,-0.04,72.0,75.6,87.5,74.1,1.05
2388913,20879,11737,0,1,12.0,16.0,14.0,16.0,-0.77,55.8,58.7,70.8,58.4,0.8
