k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating,playerid,matchid,sideid,mapid,teamid
34.0,9.0,29.0,10.0,8.59,93.3,82.9,90.9,84.3,1.79,24806,2388917,0,0,11581
30.0,17.0,30.0,18.0,7.18,107.7,102.8,93.9,89.0,1.7,21385,2388917,0,0,11581
30.0,13.0,30.0,14.0,4.14,96.0,94.1,81.8,76.8,1.66,16612,2388917,0,0,11581
27.0,18.0,25.0,19.0,1.18,78.0,71.5,75.8,70.1,1.19,21692,2388917,0,0,11581
16.0,20.0,15.0,22.0,-0.53,54.6,54.0,69.7,68.3,0.89,19823,2388917,0,0,11581
19.0,3.0,16.0,4.0,7.27,117.4,103.9,92.9,79.1,1.91,24806,2388917,1,0,11581
14.0,7.0,13.0,8.0,10.59,131.4,120.9,100.0,87.3,1.9,21385,2388917,1,0,11581
15.0,6.0,14.0,7.0,3.61,101.9,94.8,92.9,87.8,1.51,21692,2388917,1,0,11581
6.0,8.0,5.0,10.0,-1.41,51.8,47.0,71.4,66.1,0.75,19823,2388917,1,0,11581
6.0,7.0,5.0,8.0,-4.59,45.6,40.0,71.4,57.5,0.6,16612,2388917,1,0,11581
24.0,6.0,25.0,7.0,10.57,133.1,134.1,89.5,91.0,2.44,16612,2388917,2,0,11581
15.0,6.0,13.0,6.0,9.56,75.5,67.4,89.5,88.1,1.7,24806,2388917,2,0,11581
16.0,10.0,17.0,10.0,4.66,90.3,89.6,89.5,90.2,1.56,21385,2388917,2,0,11581
10.0,12.0,10.0,12.0,0.11,56.7,59.1,68.4,70.0,1.0,19823,2388917,2,0,11581
12.0,12.0,11.0,12.0,-0.62,60.4,54.4,63.2,57.0,0.95,21692,2388917,2,0,11581
22.0,27.0,24.0,26.0,-0.57,69.1,73.7,57.6,59.9,0.92,20300,2388917,0,0,10278
20.0,28.0,20.0,28.0,-4.4,73.4,73.9,60.6,58.0,0.74,22702,2388917,0,0,10278
14.0,26.0,16.0,25.0,-3.68,56.8,60.9,66.7,71.9,0.72,20309,2388917,0,0,10278
10.0,26.0,11.0,24.0,-3.97,43.8,48.2,48.5,48.6,0.55,2898,2388917,0,0,10278
11.0,30.0,11.0,31.0,-7.94,49.4,50.3,45.5,52.0,0.43,17117,2388917,0,0,10278
12.0,16.0,12.0,16.0,-0.46,71.3,72.0,52.6,55.5,0.78,20300,2388917,1,0,10278
12.0,16.0,11.0,17.0,-4.66,80.2,77.6,57.9,47.3,0.69,22702,2388917,1,0,10278
7.0,15.0,8.0,15.0,-3.55,41.4,44.0,47.4,43.6,0.54,2898,2388917,1,0,10278
7.0,12.0,8.0,12.0,-6.18,34.2,34.8,57.9,53.9,0.5,20309,2388917,1,0,10278
8.0,18.0,8.0,20.0,-9.44,66.1,67.0,52.6,61.5,0.48,17117,2388917,1,0,10278
10.0,11.0,12.0,10.0,-0.71,66.1,76.0,64.3,65.8,1.11,20300,2388917,2,0,10278
7.0,14.0,8.0,13.0,-0.29,87.6,96.4,78.6,96.4,1.03,20309,2388917,2,0,10278
8.0,12.0,9.0,11.0,-4.05,64.1,69.0,64.3,72.6,0.8,22702,2388917,2,0,10278
3.0,11.0,3.0,9.0,-4.53,46.9,54.0,50.0,55.4,0.56,2898,2388917,2,0,10278
3.0,12.0,3.0,11.0,-5.9,26.6,27.6,35.7,39.1,0.37,17117,2388917,2,0,10278
22.0,9.0,22.0,9.0,12.36,134.5,128.6,94.7,87.7,2.21,21385,2388917,0,2,11581
21.0,6.0,18.0,6.0,4.81,93.7,84.9,84.2,75.7,1.58,24806,2388917,0,2,11581
16.0,11.0,15.0,12.0,1.18,77.9,71.7,73.7,64.6,1.18,21692,2388917,0,2,11581
11.0,9.0,11.0,10.0,-1.22,70.3,68.9,73.7,66.2,1.09,16612,2388917,0,2,11581
5.0,12.0,4.0,13.0,-4.65,38.7,37.3,68.4,66.5,0.6,19823,2388917,0,2,11581
12.0,6.0,11.0,7.0,11.45,136.0,125.2,100.0,85.7,1.97,21385,2388917,1,2,11581
16.0,3.0,14.0,4.0,6.11,107.8,96.4,91.7,76.1,1.79,24806,2388917,1,2,11581
14.0,5.0,13.0,6.0,4.14,105.8,98.0,91.7,85.5,1.59,21692,2388917,1,2,11581
4.0,7.0,3.0,9.0,-3.54,49.4,43.9,66.7,61.0,0.63,19823,2388917,1,2,11581
4.0,6.0,3.0,7.0,-6.46,41.4,35.0,66.7,51.0,0.52,16612,2388917,1,2,11581
10.0,3.0,10.0,3.0,13.93,131.9,134.3,85.7,91.1,2.63,21385,2388917,2,2,11581
7.0,3.0,8.0,3.0,7.76,119.7,127.1,85.7,92.3,2.07,16612,2388917,2,2,11581
5.0,3.0,4.0,3.0,2.57,69.4,65.3,71.4,75.0,1.22,24806,2388917,2,2,11581
1.0,5.0,1.0,5.0,-6.55,20.4,26.1,71.4,76.1,0.56,19823,2388917,2,2,11581
2.0,6.0,2.0,6.0,-3.89,30.1,26.5,42.9,28.7,0.48,21692,2388917,2,2,11581
16.0,14.0,17.0,13.0,3.14,82.2,87.9,63.2,61.1,1.27,20300,2388917,0,2,10278
8.0,15.0,9.0,14.0,-0.88,70.6,75.7,73.7,83.4,0.89,20309,2388917,0,2,10278
12.0,15.0,12.0,15.0,-3.36,79.8,78.2,63.2,60.5,0.84,22702,2388917,0,2,10278
7.0,17.0,7.0,17.0,-6.6,49.7,48.8,52.6,60.6,0.53,17117,2388917,0,2,10278
4.0,14.0,4.0,12.0,-4.79,35.5,40.8,47.4,49.0,0.52,2898,2388917,0,2,10278
6.0,5.0,5.0,5.0,7.15,92.0,87.7,57.1,51.7,1.23,20300,2388917,1,2,10278
6.0,5.0,5.0,6.0,-3.09,108.7,97.4,71.4,51.5,0.95,22702,2388917,1,2,10278
4.0,7.0,4.0,8.0,-9.3,84.7,81.1,71.4,86.2,0.68,17117,2388917,1,2,10278
2.0,3.0,2.0,3.0,-2.95,43.1,42.2,71.4,66.3,0.64,20309,2388917,1,2,10278
2.0,5.0,2.0,5.0,-5.64,16.6,17.0,42.9,37.9,0.43,2898,2388917,1,2,10278
10.0,9.0,12.0,8.0,0.81,76.5,88.0,66.7,66.5,1.28,20300,2388917,2,2,10278
6.0,12.0,7.0,11.0,0.33,86.7,95.2,75.0,93.5,1.04,20309,2388917,2,2,10278
6.0,10.0,7.0,9.0,-3.52,63.0,67.1,58.3,65.7,0.77,22702,2388917,2,2,10278
2.0,9.0,2.0,7.0,-4.29,46.5,54.7,50.0,55.5,0.57,2898,2388917,2,2,10278
3.0,10.0,3.0,9.0,-5.02,29.3,29.9,41.7,45.7,0.44,17117,2388917,2,2,10278
19.0,4.0,19.0,5.0,11.42,130.9,128.4,92.9,91.2,2.47,16612,2388917,0,4,11581
13.0,3.0,11.0,3.0,13.72,92.7,80.1,100.0,95.9,2.11,24806,2388917,0,4,11581
11.0,8.0,11.0,9.0,5.05,76.1,76.5,71.4,70.8,1.4,19823,2388917,0,4,11581
11.0,7.0,10.0,7.0,1.17,78.1,71.3,78.6,77.6,1.24,21692,2388917,0,4,11581
8.0,8.0,8.0,9.0,0.15,71.4,67.9,92.9,90.7,1.07,21385,2388917,0,4,11581
3.0,0.0,3.0,0.0,14.23,175.0,149.1,100.0,96.8,2.7,24806,2388917,1,4,11581
2.0,1.0,2.0,1.0,11.37,66.0,65.4,100.0,96.8,1.81,19823,2388917,1,4,11581
2.0,1.0,2.0,1.0,5.48,104.0,94.5,100.0,96.8,1.47,21385,2388917,1,4,11581
2.0,1.0,2.0,1.0,6.63,71.0,69.7,100.0,96.8,1.36,16612,2388917,1,4,11581
1.0,1.0,1.0,1.0,0.48,78.5,75.6,100.0,101.6,1.06,21692,2388917,1,4,11581
17.0,3.0,17.0,4.0,12.22,140.8,138.1,91.7,90.2,2.66,16612,2388917,2,4,11581
10.0,3.0,8.0,3.0,13.64,79.0,68.7,100.0,95.7,2.01,24806,2388917,2,4,11581
9.0,7.0,9.0,8.0,4.0,77.8,78.4,66.7,66.4,1.33,19823,2388917,2,4,11581
10.0,6.0,9.0,6.0,1.29,78.1,70.6,75.0,73.6,1.27,21692,2388917,2,4,11581
6.0,7.0,6.0,8.0,-0.74,66.0,63.5,91.7,89.7,1.01,21385,2388917,2,4,11581
8.0,13.0,8.0,13.0,-5.82,64.6,68.1,57.1,54.6,0.62,22702,2388917,0,4,10278
6.0,12.0,7.0,11.0,-2.85,55.0,58.3,50.0,48.0,0.6,2898,2388917,0,4,10278
6.0,13.0,7.0,13.0,-5.6,51.3,54.5,50.0,58.4,0.51,20300,2388917,0,4,10278
6.0,11.0,7.0,11.0,-7.49,38.1,40.9,57.1,56.2,0.51,20309,2388917,0,4,10278
4.0,13.0,4.0,14.0,-9.75,48.9,52.4,35.7,40.3,0.35,17117,2388917,0,4,10278
5.0,10.0,6.0,10.0,-2.33,55.9,59.8,50.0,46.8,0.61,2898,2388917,1,4,10278
