k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating,playerid,matchid,sideid,mapid,teamid
66.0,38.0,65.0,44.0,4.47,93.9,93.2,80.3,83.1,1.52,20462,2389371,0,0,12774
55.0,42.0,57.0,43.0,4.05,88.0,86.9,74.2,71.9,1.34,17384,2389371,0,0,12774
46.0,37.0,45.0,39.0,2.48,78.5,76.5,81.8,78.7,1.23,4679,2389371,0,0,12774
40.0,38.0,43.0,40.0,0.92,62.7,65.9,81.8,79.3,1.13,18214,2389371,0,0,12774
46.0,44.0,47.0,45.0,0.68,77.1,77.8,72.7,70.1,1.13,11140,2389371,0,0,12774
37.0,20.0,38.0,25.0,5.04,95.2,95.8,84.2,81.4,1.53,20462,2389371,1,0,12774
34.0,21.0,35.0,23.0,5.13,89.1,87.3,81.6,76.4,1.41,17384,2389371,1,0,12774
32.0,21.0,32.0,23.0,3.17,87.7,86.1,73.7,66.4,1.29,11140,2389371,1,0,12774
27.0,19.0,25.0,22.0,1.24,78.9,72.9,81.6,78.0,1.13,4679,2389371,1,0,12774
22.0,20.0,23.0,22.0,0.59,62.2,63.6,86.8,83.4,1.04,18214,2389371,1,0,12774
29.0,18.0,27.0,19.0,3.69,92.2,89.6,75.0,85.3,1.5,20462,2389371,2,0,12774
19.0,18.0,21.0,17.0,4.15,77.9,81.4,82.1,79.5,1.36,4679,2389371,2,0,12774
18.0,18.0,21.0,18.0,1.37,63.5,68.9,75.0,73.8,1.26,18214,2389371,2,0,12774
21.0,21.0,22.0,20.0,2.59,86.4,86.5,64.3,65.9,1.26,17384,2389371,2,0,12774
14.0,23.0,16.0,22.0,-2.7,62.6,66.4,71.4,75.1,0.91,11140,2389371,2,0,12774
47.0,43.0,45.0,47.0,0.69,68.5,67.3,62.1,59.2,1.02,17675,2389371,0,0,10245
42.0,45.0,46.0,46.0,-0.15,67.5,71.6,72.7,68.5,1.02,18163,2389371,0,0,10245
39.0,53.0,40.0,54.0,-2.47,70.1,70.9,66.7,73.1,0.86,18120,2389371,0,0,10245
39.0,54.0,43.0,53.0,-4.96,67.3,70.3,59.1,61.4,0.77,22419,2389371,0,0,10245
28.0,59.0,29.0,64.0,-5.71,60.6,61.0,57.6,53.6,0.55,19763,2389371,0,0,10245
23.0,16.0,22.0,19.0,5.31,85.8,84.7,60.7,54.9,1.29,17675,2389371,1,0,10245
17.0,18.0,19.0,19.0,-1.66,60.9,63.4,71.4,67.7,0.87,18163,2389371,1,0,10245
20.0,22.0,18.0,24.0,-1.89,81.5,77.0,71.4,69.2,0.84,18120,2389371,1,0,10245
19.0,21.0,21.0,22.0,-5.17,71.4,74.4,64.3,62.6,0.8,22419,2389371,1,0,10245
15.0,24.0,15.0,27.0,-5.7,72.6,71.3,71.4,65.6,0.59,19763,2389371,1,0,10245
25.0,27.0,28.0,26.0,0.96,72.4,77.7,73.7,69.1,1.13,18163,2389371,2,0,10245
19.0,31.0,21.0,30.0,-2.9,61.7,66.5,63.2,75.9,0.88,18120,2389371,2,0,10245
24.0,27.0,23.0,28.0,-2.71,55.8,54.4,63.2,62.4,0.83,17675,2389371,2,0,10245
20.0,33.0,22.0,31.0,-4.81,64.2,67.4,55.3,60.5,0.74,22419,2389371,2,0,10245
13.0,35.0,15.0,36.0,-5.71,51.7,53.4,47.4,44.7,0.52,19763,2389371,2,0,10245
27.0,18.0,27.0,20.0,3.94,93.5,93.2,72.4,79.5,1.47,20462,2389371,0,3,12774
25.0,20.0,28.0,21.0,0.68,86.9,92.3,79.3,79.3,1.35,18214,2389371,0,3,12774
24.0,22.0,25.0,22.0,2.59,83.5,82.8,62.1,62.0,1.19,17384,2389371,0,3,12774
16.0,18.0,17.0,19.0,1.11,63.4,63.2,82.8,74.0,1.02,4679,2389371,0,3,12774
15.0,23.0,16.0,23.0,-4.01,56.8,60.4,69.0,65.0,0.77,11140,2389371,0,3,12774
13.0,7.0,14.0,9.0,5.42,88.8,89.0,78.6,74.4,1.48,20462,2389371,1,3,12774
