k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating,playerID,side,team,map,matchID
49.0,44.0,49.0,43.0,0.75,72.7,71.1,74.3,71.1,1.09,3741,total,Falcons,All,2389281
37.0,43.0,41.0,44.0,1.65,69.1,72.6,71.4,66.5,1.06,12018,total,Falcons,All,2389281
43.0,49.0,44.0,49.0,-1.17,66.8,67.2,72.9,71.5,0.95,19677,total,Falcons,All,2389281
40.0,45.0,40.0,48.0,-1.44,59.6,58.7,68.6,69.2,0.89,19230,total,Falcons,All,2389281
29.0,53.0,30.0,53.0,-5.17,49.5,49.7,61.4,53.9,0.64,25432,total,Falcons,All,2389281
34.0,21.0,34.0,21.0,2.0,93.7,90.0,76.5,68.0,1.27,3741,ct,Falcons,All,2389281
19.0,19.0,21.0,20.0,2.38,64.3,67.9,70.6,58.1,1.04,12018,ct,Falcons,All,2389281
24.0,27.0,23.0,29.0,-2.48,83.1,79.4,73.5,66.5,0.86,19677,ct,Falcons,All,2389281
18.0,21.0,18.0,24.0,-0.95,59.2,56.9,73.5,69.4,0.85,19230,ct,Falcons,All,2389281
11.0,26.0,12.0,28.0,-7.34,44.0,43.3,67.6,58.0,0.49,25432,ct,Falcons,All,2389281
18.0,24.0,20.0,24.0,0.97,73.7,77.1,72.2,74.4,1.08,12018,t,Falcons,All,2389281
19.0,22.0,21.0,21.0,0.07,51.5,55.7,72.2,76.2,1.03,19677,t,Falcons,All,2389281
22.0,24.0,22.0,24.0,-1.91,60.1,60.3,63.9,69.0,0.93,19230,t,Falcons,All,2389281
15.0,23.0,15.0,22.0,-0.43,52.8,53.2,72.2,74.0,0.92,3741,t,Falcons,All,2389281
18.0,27.0,18.0,25.0,-3.12,54.6,55.7,55.6,50.0,0.78,25432,t,Falcons,All,2389281
60.0,36.0,62.0,38.0,5.49,92.0,91.0,81.4,73.5,1.5,22929,total,PARIVISION,All,2389281
50.0,42.0,50.0,43.0,0.75,78.0,77.6,82.9,78.5,1.16,23685,total,PARIVISION,All,2389281
49.0,44.0,49.0,46.0,0.07,70.6,70.8,75.7,67.2,1.05,22471,total,PARIVISION,All,2389281
42.0,29.0,35.0,33.0,1.68,55.7,50.1,75.7,64.8,1.03,13776,total,PARIVISION,All,2389281
33.0,47.0,34.0,48.0,-2.62,56.2,59.3,72.9,69.8,0.82,19235,total,PARIVISION,All,2389281
30.0,12.0,25.0,14.0,6.76,74.6,68.1,83.3,62.7,1.33,13776,ct,PARIVISION,All,2389281
28.0,18.0,28.0,21.0,4.57,89.9,84.9,77.8,60.1,1.27,22929,ct,PARIVISION,All,2389281
25.0,19.0,26.0,21.0,-0.47,71.8,71.5,83.3,74.0,1.01,23685,ct,PARIVISION,All,2389281
19.0,21.0,17.0,23.0,-2.18,60.0,58.2,72.2,60.0,0.79,22471,ct,PARIVISION,All,2389281
18.0,22.0,19.0,24.0,-4.25,60.3,61.5,72.2,66.3,0.76,19235,ct,PARIVISION,All,2389281
32.0,18.0,33.0,17.0,6.47,94.2,97.5,85.3,87.8,1.75,22929,t,PARIVISION,All,2389281
30.0,23.0,31.0,23.0,2.44,81.8,84.2,79.4,74.9,1.34,22471,t,PARIVISION,All,2389281
25.0,23.0,25.0,22.0,2.05,84.6,84.1,82.4,83.2,1.31,23685,t,PARIVISION,All,2389281
15.0,25.0,15.0,25.0,-0.89,51.9,56.9,73.5,73.4,0.88,19235,t,PARIVISION,All,2389281
12.0,17.0,11.0,18.0,-3.69,35.7,31.1,67.6,66.9,0.71,13776,t,PARIVISION,All,2389281
15.0,17.0,15.0,17.0,3.52,81.5,79.7,63.6,64.9,1.14,12018,total,Falcons,mrg,2389281
16.0,15.0,17.0,14.0,1.45,71.5,72.3,77.3,75.4,1.14,3741,total,Falcons,mrg,2389281
15.0,17.0,14.0,17.0,-1.59,74.4,73.6,72.7,79.3,0.99,19230,total,Falcons,mrg,2389281
12.0,17.0,13.0,16.0,-4.68,61.3,63.1,68.2,70.4,0.81,19677,total,Falcons,mrg,2389281
10.0,16.0,9.0,15.0,-6.41,51.2,51.4,50.0,45.7,0.66,25432,total,Falcons,mrg,2389281
