matchid,date,score,sideid,mapid,teamid
2389281,2026-01-25,0.0,0,0,11283
2389281,2026-01-25,3.0,0,0,12467
2389281,2026-01-25,4.0,2,6,11283
2389281,2026-01-25,8.0,1,6,12467
2389281,2026-01-25,5.0,1,6,11283
2389281,2026-01-25,5.0,2,6,12467
2389281,2026-01-25,9.0,0,6,11283
2389281,2026-01-25,13.0,0,6,12467
2389281,2026-01-25,4.0,1,4,11283
2389281,2026-01-25,8.0,2,4,12467
2389281,2026-01-25,7.0,2,4,11283
2389281,2026-01-25,5.0,1,4,12467
2389281,2026-01-25,11.0,0,4,11283
2389281,2026-01-25,13.0,0,4,12467
2389281,2026-01-25,6.0,1,7,11283
2389281,2026-01-25,6.0,2,7,12467
2389281,2026-01-25,5.0,2,7,11283
2389281,2026-01-25,7.0,1,7,12467
2389281,2026-01-25,11.0,0,7,11283
2389281,2026-01-25,13.0,0,7,12467
2389203,2026-01-26,2.0,0,0,7969
2389203,2026-01-26,0.0,0,0,13501
2389203,2026-01-26,7.0,1,1,7969
2389203,2026-01-26,5.0,2,1,13501
2389203,2026-01-26,6.0,2,1,7969
2389203,2026-01-26,0.0,1,1,13501
2389203,2026-01-26,13.0,0,1,7969
2389203,2026-01-26,5.0,0,1,13501
2389203,2026-01-26,10.0,1,5,7969
2389203,2026-01-26,2.0,2,5,13501
2389203,2026-01-26,3.0,2,5,7969
2389203,2026-01-26,8.0,1,5,13501
2389203,2026-01-26,13.0,0,5,7969
2389203,2026-01-26,10.0,0,5,13501
2389454,2026-01-25,0.0,0,0,11571
2389454,2026-01-25,3.0,0,0,9215
2389454,2026-01-25,8.0,2,1,11571
2389454,2026-01-25,4.0,1,1,9215
2389454,2026-01-25,1.0,1,1,11571
2389454,2026-01-25,9.0,2,1,9215
2389454,2026-01-25,9.0,0,1,11571
2389454,2026-01-25,13.0,0,1,9215
2389454,2026-01-25,7.0,2,3,11571
2389454,2026-01-25,5.0,1,3,9215
2389454,2026-01-25,3.0,1,3,11571
2389454,2026-01-25,8.0,2,3,9215
2389454,2026-01-25,10.0,0,3,11571
2389454,2026-01-25,13.0,0,3,9215
2389454,2026-01-25,3.0,1,7,11571
2389454,2026-01-25,9.0,2,7,9215
2389454,2026-01-25,6.0,2,7,11571
2389454,2026-01-25,4.0,1,7,9215
2389454,2026-01-25,9.0,0,7,11571
2389454,2026-01-25,13.0,0,7,9215
2389528,2026-01-25,2.0,0,0,13466
2389528,2026-01-25,1.0,0,0,11641
2389528,2026-01-25,7.0,2,5,13466
2389528,2026-01-25,5.0,1,5,11641
2389528,2026-01-25,6.0,1,5,13466
2389528,2026-01-25,3.0,2,5,11641
2389528,2026-01-25,13.0,0,5,13466
2389528,2026-01-25,8.0,0,5,11641
2389528,2026-01-25,5.0,1,7,13466
2389528,2026-01-25,7.0,2,7,11641
2389528,2026-01-25,6.0,2,7,13466
2389528,2026-01-25,6.0,1,7,11641
2389528,2026-01-25,11.0,0,7,13466
2389528,2026-01-25,13.0,0,7,11641
2389528,2026-01-25,8.0,2,3,13466
2389528,2026-01-25,4.0,1,3,11641
2389528,2026-01-25,5.0,1,3,13466
2389528,2026-01-25,3.0,2,3,11641
2389528,2026-01-25,13.0,0,3,13466
2389528,2026-01-25,7.0,0,3,11641
2389128,2026-01-25,0.0,0,0,10621
2389128,2026-01-25,2.0,0,0,7969
2389128,2026-01-25,8.0,2,2,10621
2389128,2026-01-25,4.0,1,2,7969
2389128,2026-01-25,3.0,1,2,10621
2389128,2026-01-25,9.0,2,2,7969
2389128,2026-01-25,11.0,0,2,10621
2389128,2026-01-25,13.0,0,2,7969
2389128,2026-01-25,4.0,1,3,10621
2389128,2026-01-25,8.0,2,3,7969
2389128,2026-01-25,3.0,2,3,10621
2389128,2026-01-25,5.0,1,3,7969
2389128,2026-01-25,7.0,0,3,10621
2389128,2026-01-25,13.0,0,3,7969
2389162,2026-01-25,1.0,0,0,13466
2389162,2026-01-25,2.0,0,0,11609
2389162,2026-01-25,8.0,1,4,13466
2389162,2026-01-25,4.0,2,4,11609
2389162,2026-01-25,5.0,2,4,13466
