matchID,map,side,date,team,score
2389371,All,total,2026-01-25,FlyQuest,3.0
2389371,All,total,2026-01-25,JiJieHao,0.0
2389371,anc,ct,2026-01-25,FlyQuest,7.0
2389371,anc,t,2026-01-25,JiJieHao,5
2389371,anc,t,2026-01-25,FlyQuest,5
2389371,anc,ct,2026-01-25,JiJieHao,7
2389371,anc,total,2026-01-25,FlyQuest,16
2389371,anc,total,2026-01-25,JiJieHao,13
2389371,anb,ct,2026-01-25,FlyQuest,11
2389371,anb,t,2026-01-25,JiJieHao,1
2389371,anb,t,2026-01-25,FlyQuest,2
2389371,anb,ct,2026-01-25,JiJieHao,3
2389371,anb,total,2026-01-25,FlyQuest,13
2389371,anb,total,2026-01-25,JiJieHao,4
2389371,d2,ct,2026-01-25,FlyQuest,7
2389371,d2,t,2026-01-25,JiJieHao,5
2389371,d2,t,2026-01-25,FlyQuest,6
2389371,d2,ct,2026-01-25,JiJieHao,2
2389371,d2,total,2026-01-25,FlyQuest,13
2389371,d2,total,2026-01-25,JiJieHao,7
2389452,All,total,2026-01-25,MIBR,2.0
2389452,All,total,2026-01-25,RED Canids,1.0
2389452,inf,ct,2026-01-25,MIBR,8.0
2389452,inf,t,2026-01-25,RED Canids,4
2389452,inf,t,2026-01-25,MIBR,3
2389452,inf,ct,2026-01-25,RED Canids,9
2389452,inf,total,2026-01-25,MIBR,11
2389452,inf,total,2026-01-25,RED Canids,13
2389452,anc,t,2026-01-25,MIBR,4
2389452,anc,ct,2026-01-25,RED Canids,8
2389452,anc,ct,2026-01-25,MIBR,8
2389452,anc,t,2026-01-25,RED Canids,4
2389452,anc,total,2026-01-25,MIBR,19
2389452,anc,total,2026-01-25,RED Canids,16
2389452,mrg,ct,2026-01-25,MIBR,7
2389452,mrg,t,2026-01-25,RED Canids,5
2389452,mrg,t,2026-01-25,MIBR,6
2389452,mrg,ct,2026-01-25,RED Canids,0
2389452,mrg,total,2026-01-25,MIBR,13
2389452,mrg,total,2026-01-25,RED Canids,5
