fantasyid,teamid,playerid,team,player,cost,avg_rating,n_games,avg_rating_vs_G2,avg_rating_vs_Aurora,avg_rating_vs_Liquid,avg_rating_vs_3DMAX,avg_rating_vs_Astralis,avg_rating_vs_paiN,avg_rating_vs_Passion UA,avg_rating_vs_B8,avg_rating_vs_PARIVISION,avg_rating_vs_Legacy,avg_rating_vs_GamerLegion,avg_rating_vs_HEROIC,avg_rating_vs_FUT,avg_rating_vs_Ninjas in Pyjamas,avg_rating_vs_NRG,avg_rating_vs_BC.Game,rating/cost
591,5995,3972,G2,hunter,198,0.911,24,,,,1.170,,1.257,1.050,,,,,,,,,,0.92
591,5995,11617,G2,malbsmd,217,1.004,27,,,,1.193,,1.517,1.107,,,,,,,,,,0.925
591,5995,19164,G2,sunpayus,218,1.076,27,,,,0.867,,1.533,1.243,,,,,,,,,,0.987
591,5995,20447,G2,heavygod,228,1.130,27,,,,1.450,,0.793,1.533,,,,,,,,,,0.991
591,5995,21062,G2,matys,220,1.075,27,,,,1.340,,1.433,1.333,,,,,,,,,,0.977
591,11861,150,Aurora,maj3r,190,0.938,42,,,0.943,,0.743,,,0.813,0.810,0.887,1.455,1.150,,,,,0.987
591,11861,7938,Aurora,xantares,226,1.192,42,,,1.290,,1.128,,,1.167,0.960,1.353,1.495,0.883,,,,,1.055
591,11861,8574,Aurora,woxic,209,1.145,42,,,0.907,,1.135,,,1.387,1.183,0.840,1.145,0.710,,,,,1.096
591,11861,20968,Aurora,soulfly,203,1.084,84,,,,,,,,,,,1.040,,,,,,1.068
591,11861,21243,Aurora,wicadia,221,1.255,42,,,1.393,,1.115,,,1.320,0.867,1.097,1.235,0.937,,,,,1.136
591,5973,19899,Liquid,krimbo,215,,0,,,,,,,,,,,,,,,,,
591,5973,8738,Liquid,elige,212,1.046,48,,0.797,,,1.123,,1.070,1.327,0.810,1.100,,,,1.420,,,0.987
591,5973,9436,Liquid,nertz,210,1.046,48,,1.240,,,1.157,,0.873,0.943,0.817,1.310,,,,1.093,,,0.996
591,5973,16820,Liquid,siuhy,192,0.900,48,,0.920,,,1.120,,0.990,0.730,0.343,0.993,,,,0.923,,,0.938
591,5973,21763,Liquid,ultimate,205,0.974,48,,0.860,,,1.533,,0.803,0.480,0.640,1.123,,,,0.787,,,0.95
591,4914,8374,3DMAX,bodyy,210,1.198,48,0.783,,,,0.627,1.807,2.117,1.037,1.207,,,,,1.233,,,1.141
591,4914,13138,3DMAX,maka,215,1.045,48,0.693,,,,0.820,0.970,1.850,1.123,1.130,,,,,1.693,,,0.972
591,4914,13497,3DMAX,lucky,204,1.031,48,0.883,,,,0.813,0.923,1.367,1.012,0.950,,,,,1.060,,,1.011
591,4914,19739,3DMAX,ex3rcice,207,0.956,48,1.043,,,,1.333,0.467,1.217,1.107,1.190,,,,,1.100,,,0.924
591,4914,21969,3DMAX,graviti,205,1.002,48,0.940,,,,0.640,0.617,1.397,0.790,1.220,,,,,1.363,,,0.978
591,6665,10096,Astralis,hooxi,188,0.953,48,,1.208,0.797,1.407,,,,0.617,0.627,0.700,,,,0.737,,,1.014
591,6665,16726,Astralis,phzy,206,1.018,30,,,,,,,,,0.567,,,,,,,,0.988
591,6665,17956,Astralis,jabbi,197,1.010,48,,1.077,0.997,1.087,,,,0.697,0.817,0.877,,,,0.977,,,1.025
591,6665,20304,Astralis,staehr,205,1.085,48,,1.113,1.063,1.193,,,,1.010,0.960,0.877,,,,1.180,,,1.059
591,6665,21217,Astralis,ryu,208,1.192,54,,,,,,,,,0.757,,,,1.007,,,,1.146
591,4773,16816,paiN,vsm,196,1.113,36,,,,,,,,,,,,0.910,,,,,1.136
591,4773,18141,paiN,biguzera,198,1.107,51,0.783,,,1.553,,,1.363,1.280,,0.713,1.020,0.747,,,,,1.118
591,4773,18714,paiN,piriajr,216,1.352,45,,,,,,,,,,,,1.067,,,,,1.252
591,4773,19694,paiN,nqz,197,1.039,51,1.197,,,0.907,,,1.257,1.138,,1.130,1.127,0.900,,,,,1.055
591,4773,20171,paiN,snow,195,1.010,51,0.617,,,0.950,,,1.150,0.920,,1.000,1.227,1.130,,,,,1.036
591,12426,11630,Passion UA,jt,199,1.034,57,1.107,,1.373,0.650,,0.840,,,,,1.070,,0.707,,,,1.039
591,12426,12840,Passion UA,hallzerk,197,0.944,57,0.407,,0.980,0.533,,0.643,,,,,0.830,,1.160,,,,0.958
591,12426,13578,Passion UA,grim,207,1.055,57,0.890,,0.897,0.673,,1.027,,,,,0.793,,0.867,,,,1.019
591,12426,21452,Passion UA,kvem,207,1.078,57,1.403,,1.413,0.513,,0.557,,,,,1.003,,0.757,,,,1.042
591,12426,21620,Passion UA,nicx,195,1.059,57,0.977,,1.093,0.790,,0.940,,,,,1.210,,1.183,,,,1.086
591,11241,20112,B8,alex666,190,1.008,54,,0.970,1.273,0.970,1.700,0.975,,,0.890,0.938,,,,,,,1.061
591,11241,21708,B8,npl,208,1.110,54,,0.977,1.427,1.223,1.450,0.807,,,1.080,1.237,,,,,,,1.067
591,11241,22842,B8,kensizor,205,1.096,54,,0.990,1.400,1.233,1.307,1.245,,,1.360,1.283,,,,,,,1.069
591,11241,23643,B8,esenthial,195,1.058,54,,1.137,1.070,1.127,0.860,1.058,,,1.540,1.002,,,,,,,1.085
591,11241,25805,B8,segukawa,190,,0,,,,,,,,,,,,,,,,,
591,12467,13776,PARIVISION,jame,197,1.040,57,,0.917,0.927,0.937,1.083,,,1.173,,1.073,1.147,,,0.990,,0.900,1.056
591,12467,19235,PARIVISION,belchonokk,190,0.997,57,,1.133,1.760,0.787,1.133,,,0.763,,1.143,1.143,,,0.923,,1.487,1.049
591,12467,22471,PARIVISION,xielo,207,1.230,57,,1.490,1.997,1.020,1.183,,,1.113,,0.900,1.127,,,1.023,,1.277,1.188
591,12467,22929,PARIVISION,nota,205,1.164,57,,0.823,2.077,1.023,1.423,,,1.027,,1.130,1.143,,,1.653,,1.580,1.136
591,12467,23685,PARIVISION,zweih,216,1.067,51,,,0.760,,1.860,1.430,,,,,,1.063,,,,,0.988
591,12468,15698,Legacy,dumau,198,1.179,51,,1.013,1.063,,1.240,1.300,,0.990,0.970,,,,,,,,1.191
591,12468,19045,Legacy,latto,205,1.223,51,,1.093,1.103,,1.087,1.057,,0.982,1.407,,,,,,,,1.193
591,12468,19686,Legacy,n1ssim,191,1.046,51,,1.063,0.857,,1.347,1.303,,1.020,1.060,,,,,,,,1.095
591,12468,20563,Legacy,lux,183,1.022,51,,1.107,0.637,,1.347,1.077,,0.917,0.587,,,,,,,,1.117
591,12468,22965,Legacy,saadzin,194,1.165,51,,0.913,1.170,,1.203,0.950,,0.940,1.067,,,,,,,,1.201
591,9928,2553,GamerLegion,snax,175,0.889,18,,0.970,,,,,0.983,,,,,,,,0.817,,1.016
591,9928,9278,GamerLegion,rez,197,1.104,54,,0.797,,,,1.200,1.143,,0.950,,,1.070,,,0.943,,1.121
591,9928,20301,GamerLegion,tauson,201,1.088,54,,0.813,,,,1.030,1.077,,0.777,,,1.017,,,0.900,,1.083
591,9928,22279,GamerLegion,pr,204,1.186,45,,0.975,,,,0.980,1.023,,1.060,,,1.593,,,,,1.163
591,9928,23766,GamerLegion,hypex,184,0.973,54,,0.848,,,,0.907,1.100,,0.917,,,0.890,,,0.773,,1.058
591,7175,19187,HEROIC,xfl0ud,195,1.257,39,,1.357,,,,1.030,,,,,1.037,,,2.190,,,1.289
591,7175,20119,HEROIC,nilo,192,1.188,39,,1.373,,,,1.490,,,,,1.260,,,1.307,,,1.238
591,7175,21163,HEROIC,susp,194,0.986,9,,,,,,1.203,,,,,,,,,,,1.016
591,7175,21983,HEROIC,chr1zn,178,0.990,9,,,,,,0.973,,,,,,,,,,,1.112
591,7175,23600,HEROIC,alkaren,191,1.113,30,,1.143,,,,,,,,,1.017,,,0.997,,,1.165
591,13286,20584,FUT,dem0n,189,1.191,69,,,,,,,0.827,,,,,,,,,,1.26
591,13286,20761,FUT,launx,187,1.159,69,,,,,,,1.123,,,,,,,,,,1.24
591,13286,22203,FUT,krabeni,182,1.116,69,,,,,,,1.263,,,,,,,,,,1.226
591,13286,22674,FUT,cmtry,180,1.085,69,,,,,,,1.690,,,,,,,,,,1.206
591,13286,23553,FUT,dziugss,194,1.270,69,,,,,,,1.213,,,,,,,,,,1.309
591,4411,922,Ninjas in Pyjamas,snappi,170,1.011,51,,,0.990,0.627,0.913,,,,0.853,,,0.617,,,0.710,,1.189
591,4411,14148,Ninjas in Pyjamas,sjuush,181,1.136,51,,,0.880,0.930,1.290,,,,1.207,,,0.930,,,0.613,,1.255
591,4411,20425,Ninjas in Pyjamas,r1nkle,182,1.144,51,,,1.120,1.033,1.143,,,,1.220,,,0.857,,,0.933,,1.257
591,4411,23372,Ninjas in Pyjamas,xkacpersky,194,1.285,51,,,1.103,0.930,1.497,,,,0.797,,,1.217,,,1.003,,1.325
591,4411,24283,Ninjas in Pyjamas,cairne,195,1.279,33,,,0.970,,,,,,,,,,1.090,,,,1.312
591,6673,7687,NRG,nitr0,173,1.000,45,,,,,,,,,,,1.113,,,,,,1.156
591,6673,8711,NRG,sonic,184,1.175,60,,,,,,,,,,,1.143,,,1.470,,,1.277
591,6673,13249,NRG,osee,188,1.127,24,,,,,,,,,,,1.017,,,,,,1.199
591,6673,16717,NRG,br0,183,1.168,60,,,,,,,,,,,1.167,,,1.483,,,1.277
591,6673,20333,NRG,jeorge,178,1.084,60,,,,,,,,,,,1.543,,,1.360,,,1.218
591,12878,630,BC.Game,mutiris,178,1.018,57,,0.980,1.250,0.747,,,,,,0.730,0.838,,,0.958,0.820,,1.144
591,12878,7998,BC.Game,s1mple,195,1.116,30,,,,,,,,,1.007,,,,,,,,1.145
591,12878,8918,BC.Game,electronic,180,1.072,30,,,,,,,,,0.953,,,,,,,,1.191
591,12878,22807,BC.Game,aragornn,186,1.081,57,,1.063,1.197,0.857,,,,,,1.087,1.303,,,0.840,1.170,,1.162
591,12878,23140,BC.Game,krazy,180,0.994,57,,0.903,0.970,0.683,,,,,,0.813,0.838,,,1.098,0.903,,1.104
