fantasyid,teamid,playerid,team,player,cost,avg_rating,n_games,avg_rating_event,n_games_event,rating/cost,avg_points,avg_points_event,avg_points/$,avg_points/$_event
591,5995,3972,G2,hunter,198,0.91,8,1.163,3,0.919,-4.499999999999998,8.150000000000002,-0.022727272727272717,0.04116161616161617
591,5995,11617,G2,malbsmd,217,1.0,9,1.253,3,0.922,0.0,12.649999999999995,0.0,0.058294930875576016
591,5995,19164,G2,sunpayus,218,1.087,9,1.23,3,0.997,4.349999999999998,11.5,0.019954128440366963,0.052752293577981654
591,5995,20447,G2,heavygod,228,1.133,9,1.263,3,0.994,6.65,13.149999999999995,0.029166666666666667,0.057675438596491206
591,5995,21062,G2,matys,220,1.097,9,1.43,3,0.997,4.849999999999999,21.499999999999996,0.022045454545454538,0.0977272727272727
591,11861,150,Aurora,maj3r,190,0.938,13,0.997,9,0.987,-3.1000000000000028,-0.15000000000000013,-0.016315789473684224,-0.0007894736842105271
591,11861,7938,Aurora,xantares,226,1.195,13,1.216,9,1.058,9.750000000000004,10.799999999999999,0.043141592920354,0.04778761061946902
591,11861,8574,Aurora,woxic,209,1.117,13,1.067,9,1.069,5.85,3.3499999999999974,0.02799043062200957,0.01602870813397128
591,11861,20968,Aurora,soulfly,203,1.086,28,1.04,1,1.07,4.300000000000004,2.0000000000000018,0.02118226600985224,0.009852216748768482
591,11861,21243,Aurora,wicadia,221,1.268,13,1.149,9,1.148,13.4,7.450000000000001,0.06063348416289593,0.03371040723981901
591,5973,19899,Liquid,krimbo,215,,0,,0,,,,,
591,5973,8738,Liquid,elige,212,1.047,15,1.087,6,0.988,2.3499999999999965,4.349999999999998,0.011084905660377342,0.02051886792452829
591,5973,9436,Liquid,nertz,210,1.033,15,1.025,6,0.984,1.649999999999996,1.2499999999999956,0.007857142857142837,0.005952380952380931
591,5973,16820,Liquid,siuhy,192,0.897,15,0.857,6,0.934,-5.149999999999999,-7.15,-0.026822916666666658,-0.03723958333333333
591,5973,21763,Liquid,ultimate,205,0.947,15,0.827,6,0.924,-2.650000000000002,-8.650000000000002,-0.012926829268292693,-0.04219512195121952
591,4914,8374,3DMAX,bodyy,210,1.148,15,1.181,8,1.093,7.399999999999995,9.050000000000002,0.035238095238095214,0.04309523809523811
591,4914,13138,3DMAX,maka,215,1.04,15,1.139,8,0.967,2.0000000000000018,6.950000000000001,0.009302325581395357,0.03232558139534884
591,4914,13497,3DMAX,lucky,204,0.999,15,1.014,8,0.979,-0.050000000000000044,0.7000000000000006,-0.0002450980392156865,0.003431372549019611
591,4914,19739,3DMAX,ex3rcice,207,0.962,15,1.094,8,0.929,-1.9000000000000017,4.700000000000005,-0.009178743961352666,0.02270531400966186
591,4914,21969,3DMAX,graviti,205,0.953,15,0.966,8,0.93,-2.3500000000000023,-1.7000000000000015,-0.011463414634146353,-0.008292682926829276
591,6665,10096,Astralis,hooxi,188,0.97,15,0.943,7,1.032,-1.5000000000000013,-2.8500000000000023,-0.007978723404255325,-0.015159574468085118
591,6665,16726,Astralis,phzy,206,1.016,10,0.53,1,0.986,0.8000000000000007,-23.5,0.0038834951456310713,-0.11407766990291263
591,6665,17956,Astralis,jabbi,197,1.034,15,0.983,7,1.05,1.7000000000000015,-0.8500000000000008,0.00862944162436549,-0.004314720812182745
591,6665,20304,Astralis,staehr,205,1.098,15,1.081,7,1.071,4.900000000000004,4.049999999999998,0.02390243902439026,0.0197560975609756
591,6665,21217,Astralis,ryu,208,1.175,17,0.88,2,1.13,8.750000000000002,-6.0,0.0420673076923077,-0.028846153846153848
591,4773,16816,paiN,vsm,196,1.103,11,0.91,1,1.126,5.149999999999999,-4.499999999999998,0.026275510204081625,-0.02295918367346938
591,4773,18141,paiN,biguzera,198,1.103,16,1.1,8,1.114,5.149999999999999,5.000000000000004,0.026010101010101004,0.025252525252525276
591,4773,18714,paiN,piriajr,216,1.354,14,1.05,1,1.254,17.700000000000003,2.500000000000002,0.08194444444444446,0.011574074074074084
591,4773,19694,paiN,nqz,197,1.033,16,1.096,8,1.049,1.649999999999996,4.800000000000004,0.008375634517766477,0.02436548223350256
591,4773,20171,paiN,snow,195,1.01,16,0.994,8,1.036,0.5000000000000004,-0.30000000000000027,0.0025641025641025663,-0.0015384615384615398
591,12426,11630,Passion UA,jt,199,1.042,19,0.977,6,1.047,2.100000000000002,-1.150000000000001,0.010552763819095487,-0.005778894472361814
591,12426,12840,Passion UA,hallzerk,197,0.941,19,0.755,6,0.955,-2.950000000000003,-12.25,-0.014974619289340116,-0.06218274111675127
591,12426,13578,Passion UA,grim,207,1.034,19,0.842,6,0.999,1.7000000000000015,-7.900000000000001,0.008212560386473437,-0.038164251207729476
591,12426,21452,Passion UA,kvem,207,1.077,19,0.947,6,1.041,3.849999999999998,-2.650000000000002,0.01859903381642511,-0.01280193236714977
591,12426,21620,Passion UA,nicx,195,1.056,19,1.042,6,1.083,2.8000000000000025,2.100000000000002,0.014358974358974371,0.01076923076923078
591,11241,20112,B8,alex666,190,0.964,17,0.992,9,1.015,-1.8000000000000016,-0.40000000000000036,-0.009473684210526323,-0.0021052631578947385
591,11241,21708,B8,npl,208,1.082,17,1.101,9,1.04,4.100000000000003,5.049999999999999,0.019711538461538478,0.024278846153846147
591,11241,22842,B8,kensizor,205,1.098,17,1.256,9,1.071,4.900000000000004,12.8,0.02390243902439026,0.06243902439024391
591,11241,23643,B8,esenthial,195,1.052,17,1.127,9,1.079,2.6000000000000023,6.35,0.013333333333333345,0.03256410256410256
591,11241,25805,B8,segukawa,190,,0,,0,,,,,
591,12467,13776,PARIVISION,jame,197,1.043,19,1.013,9,1.059,2.1499999999999964,0.649999999999995,0.010913705583756327,0.003299492385786777
591,12467,19235,PARIVISION,belchonokk,190,0.995,19,1.124,9,1.047,-0.2500000000000002,6.2000000000000055,-0.0013157894736842118,0.03263157894736845
591,12467,22471,PARIVISION,xielo,207,1.218,19,1.216,9,1.177,10.899999999999999,10.799999999999999,0.05265700483091787,0.05217391304347826
591,12467,22929,PARIVISION,nota,205,1.188,19,1.37,9,1.159,9.399999999999997,18.500000000000007,0.04585365853658535,0.09024390243902443
591,12467,23685,PARIVISION,zweih,216,1.082,17,1.303,4,1.002,4.100000000000003,15.149999999999997,0.018981481481481495,0.07013888888888888
591,12468,15698,Legacy,dumau,198,1.171,16,1.083,6,1.183,8.550000000000002,4.149999999999999,0.043181818181818196,0.020959595959595952
591,12468,19045,Legacy,latto,205,1.231,16,1.095,6,1.201,11.550000000000004,4.749999999999998,0.05634146341463417,0.023170731707317066
591,12468,19686,Legacy,n1ssim,191,1.048,16,1.133,6,1.097,2.400000000000002,6.65,0.012565445026178021,0.034816753926701575
591,12468,20563,Legacy,lux,183,1.034,16,0.992,6,1.13,1.7000000000000015,-0.40000000000000036,0.009289617486338806,-0.0021857923497267777
591,12468,22965,Legacy,saadzin,194,1.153,16,0.995,6,1.189,7.650000000000001,-0.2500000000000002,0.039432989690721655,-0.001288659793814434
591,9928,2553,GamerLegion,snax,175,0.895,6,0.933,3,1.023,-5.249999999999999,-3.3499999999999974,-0.029999999999999995,-0.019142857142857128
591,9928,9278,GamerLegion,rez,197,1.106,17,0.986,7,1.123,5.300000000000004,-0.7000000000000006,0.026903553299492407,-0.00355329949238579
591,9928,20301,GamerLegion,tauson,201,1.067,17,0.914,7,1.062,3.3499999999999974,-4.299999999999998,0.016666666666666653,-0.021393034825870638
591,9928,22279,GamerLegion,pr,204,1.187,14,1.102,6,1.164,9.350000000000003,5.100000000000005,0.04583333333333335,0.025000000000000026
591,9928,23766,GamerLegion,hypex,184,0.966,17,0.891,7,1.05,-1.7000000000000015,-5.449999999999999,-0.009239130434782616,-0.0296195652173913
591,7175,19187,HEROIC,xfl0ud,195,1.181,12,1.133,3,1.211,9.050000000000002,6.65,0.04641025641025642,0.034102564102564105
591,7175,20119,HEROIC,nilo,192,1.176,12,1.37,3,1.225,8.799999999999997,18.500000000000007,0.045833333333333316,0.0963541666666667
591,7175,21163,HEROIC,susp,194,1.0,3,1.24,1,1.031,0.0,12.0,0.0,0.061855670103092786
591,7175,21983,HEROIC,chr1zn,178,0.993,3,0.97,1,1.116,-0.3500000000000003,-1.5000000000000013,-0.0019662921348314625,-0.008426966292134838
591,7175,23600,HEROIC,alkaren,191,1.122,9,1.085,2,1.175,6.100000000000005,4.249999999999998,0.031937172774869134,0.022251308900523552
591,13286,20584,FUT,dem0n,189,1.196,23,0.83,1,1.266,9.799999999999997,-8.500000000000002,0.051851851851851836,-0.044973544973544985
591,13286,20761,FUT,launx,187,1.16,23,1.12,1,1.241,7.9999999999999964,6.000000000000005,0.04278074866310159,0.032085561497326234
591,13286,22203,FUT,krabeni,182,1.116,23,1.25,1,1.226,5.800000000000005,12.5,0.031868131868131894,0.06868131868131869
591,13286,22674,FUT,cmtry,180,1.087,23,1.68,1,1.208,4.349999999999998,34.0,0.024166666666666656,0.18888888888888888
591,13286,23553,FUT,dziugss,194,1.269,23,1.23,1,1.308,13.449999999999996,11.5,0.06932989690721647,0.059278350515463915
591,4411,922,Ninjas in Pyjamas,snappi,170,1.021,16,0.82,5,1.201,1.0499999999999954,-9.000000000000002,0.006176470588235267,-0.05294117647058825
591,4411,14148,Ninjas in Pyjamas,sjuush,181,1.166,16,0.98,5,1.288,8.299999999999997,-1.0000000000000009,0.04585635359116021,-0.005524861878453044
591,4411,20425,Ninjas in Pyjamas,r1nkle,182,1.154,16,1.088,5,1.268,7.699999999999996,4.400000000000004,0.04230769230769228,0.024175824175824197
591,4411,23372,Ninjas in Pyjamas,xkacpersky,194,1.284,16,1.07,5,1.324,14.200000000000001,3.500000000000003,0.0731958762886598,0.018041237113402078
591,4411,24283,Ninjas in Pyjamas,cairne,195,1.277,11,1.05,3,1.31,13.849999999999996,2.500000000000002,0.071025641025641,0.012820512820512832
591,6673,7687,NRG,nitr0,173,1.015,13,1.11,1,1.173,0.7499999999999951,5.500000000000005,0.004335260115606908,0.0317919075144509
591,6673,8711,NRG,sonic,184,1.148,18,1.29,2,1.248,7.399999999999995,14.500000000000002,0.0402173913043478,0.07880434782608696
591,6673,13249,NRG,osee,188,1.128,8,1.03,1,1.2,6.399999999999995,1.5000000000000013,0.034042553191489335,0.007978723404255325
591,6673,16717,NRG,br0,183,1.18,18,1.275,2,1.29,8.999999999999996,13.749999999999996,0.04918032786885244,0.07513661202185791
591,6673,20333,NRG,jeorge,178,1.099,18,1.465,2,1.235,4.949999999999999,23.250000000000004,0.027808988764044938,0.1306179775280899
591,12878,630,BC.Game,mutiris,178,1.032,18,0.919,8,1.16,1.6000000000000014,-4.049999999999998,0.008988764044943828,-0.022752808988764035
591,12878,7998,BC.Game,s1mple,195,1.105,10,1.03,1,1.133,5.249999999999999,1.5000000000000013,0.026923076923076918,0.007692307692307699
591,12878,8918,BC.Game,electronic,180,1.081,10,0.96,1,1.201,4.049999999999998,-2.0000000000000018,0.02249999999999999,-0.01111111111111112
591,12878,22807,BC.Game,aragornn,186,1.096,18,1.094,8,1.178,4.800000000000004,4.700000000000005,0.02580645161290325,0.0252688172043011
591,12878,23140,BC.Game,krazy,180,1.01,18,0.935,8,1.122,0.5000000000000004,-3.2499999999999973,0.00277777777777778,-0.01805555555555554
