teamid,G2,Aurora,Liquid,3DMAX,Astralis,paiN,Passion UA,B8,PARIVISION,Legacy,GamerLegion,HEROIC,FUT,Ninjas in Pyjamas,NRG,BC.Game
G2,,,,100.0 (1),,100.0 (1),100.0 (1),,,,,,,,,
Aurora,,,100.0 (1),,50.0 (2),,,100.0 (1),0.0 (1),100.0 (1),50.0 (2),0.0 (1),,,,
Liquid,,0.0 (1),,,100.0 (1),,0.0 (1),0.0 (1),0.0 (1),,,,,100.0 (1),,
3DMAX,0.0 (1),,,,0.0 (1),0.0 (1),100.0 (1),0.0 (2),100.0 (1),,,,,100.0 (1),,
Astralis,,50.0 (2),0.0 (1),100.0 (1),,,,,0.0 (1),0.0 (1),,,,0.0 (1),,
paiN,0.0 (1),,,100.0 (1),,,100.0 (1),50.0 (2),,0.0 (1),100.0 (1),0.0 (1),,,,
Passion UA,0.0 (1),,100.0 (1),0.0 (1),,0.0 (1),,,,,0.0 (1),,0.0 (1),,,
B8,,0.0 (1),100.0 (1),100.0 (2),,50.0 (2),,,100.0 (1),100.0 (2),,,,,,
PARIVISION,,100.0 (1),100.0 (1),0.0 (1),100.0 (1),,,0.0 (1),,100.0 (1),100.0 (1),,,100.0 (1),,100.0 (1)
Legacy,,0.0 (1),,,100.0 (1),100.0 (1),,0.0 (2),0.0 (1),,,,,,,
GamerLegion,,50.0 (2),,,,0.0 (1),100.0 (1),,0.0 (1),,,100.0 (1),,,0.0 (1),
HEROIC,,100.0 (1),,,,100.0 (1),,,,,0.0 (1),,,,,
FUT,,,,,,,100.0 (1),,,,,,,,,
Ninjas in Pyjamas,,,0.0 (1),0.0 (1),100.0 (1),,,,0.0 (1),,,,,,0.0 (1),
NRG,,,,,,,,,,,100.0 (1),,,100.0 (1),,
BC.Game,,,,,,,,,0.0 (1),,,,,,,
